listing_id,date
42515,2011-09-24
42515,2012-05-17
42515,2012-05-27
42515,2012-09-21
42515,2013-02-19
42515,2013-10-15
42515,2014-03-01
42515,2014-03-16
42515,2014-08-24
42515,2014-09-18
42515,2015-01-31
42515,2015-08-19
42515,2015-09-23
42515,2015-12-31
42515,2016-02-05
42515,2016-03-03
42515,2016-04-30
42515,2016-05-11
42515,2016-06-04
42515,2016-06-15
42515,2016-07-09
42515,2016-12-03
42515,2016-12-10
42515,2017-03-24
42515,2017-05-25
42515,2017-06-09
42515,2017-06-14
42515,2017-07-05
42515,2017-10-07
42515,2018-03-10
42515,2018-05-01
42515,2018-08-09
42515,2018-09-14
42515,2018-09-21
42515,2018-09-29
42515,2018-10-31
42515,2018-11-23
42515,2018-12-08
42515,2019-02-07
42515,2019-02-15
42515,2019-02-23
42515,2019-03-08
42515,2019-04-13
42515,2019-05-08
42515,2019-05-13
42515,2019-05-25
42515,2019-06-08
42515,2019-06-21
42515,2019-07-13
42515,2019-07-27
42515,2019-08-31
42515,2019-09-09
42515,2019-09-14
42515,2019-09-24
42515,2019-10-23
42515,2019-11-02
42515,2020-05-30
42515,2021-06-01
42515,2021-09-16
44959,2010-09-28
44959,2011-06-08
44959,2011-06-09
44959,2011-06-17
44959,2011-09-05
44959,2011-09-20
44959,2011-10-01
44959,2012-03-09
44959,2012-05-01
44959,2012-05-17
44959,2012-05-26
44959,2013-05-06
44959,2013-05-18
44959,2013-05-26
44959,2013-05-30
44959,2013-06-24
44959,2014-06-28
44959,2015-06-12
44959,2016-03-01
44959,2016-03-03
44959,2016-03-11
44959,2016-06-03
44959,2016-07-01
44959,2016-08-03
44959,2016-09-27
44959,2016-09-29
44959,2016-11-16
44959,2016-11-18
44959,2016-11-20
44959,2017-03-07
44959,2017-03-18
44959,2017-03-25
44959,2017-04-06
44959,2017-05-07
44959,2017-05-12
44959,2017-06-03
44959,2017-09-02
44959,2017-10-10
44959,2017-12-01
44959,2017-12-21
44959,2018-01-19
44959,2018-01-22
44959,2018-09-13
44959,2018-09-15
44959,2018-10-24
44959,2018-12-01
44959,2020-02-01
44959,2020-02-14
44959,2020-04-03
276025,2012-03-15
276025,2012-03-26
276025,2012-04-28
276025,2012-05-17
276025,2012-06-08
276025,2012-06-21
276025,2012-06-27
276025,2012-07-11
276025,2012-07-19
276025,2012-11-05
276025,2012-12-05
276025,2013-02-26
276025,2013-03-29
276025,2013-04-01
276025,2013-04-22
276025,2013-10-16
276025,2013-11-02
276025,2013-12-10
276025,2014-03-18
276025,2014-04-21
276025,2014-08-18
276025,2015-01-24
276025,2015-01-31
276025,2015-02-14
276025,2015-03-12
276025,2015-05-02
276025,2015-05-10
276025,2015-05-13
276025,2015-05-21
276025,2015-05-24
276025,2015-06-08
276025,2015-06-11
276025,2015-07-05
276025,2015-07-17
276025,2015-07-29
276025,2015-08-03
276025,2015-08-07
276025,2015-09-03
276025,2015-10-15
276025,2015-10-21
276025,2015-10-25
276025,2015-12-07
