id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
48970522,Room close to train station in beautiful loft,8812670,Yann,,Commune de Genève,46.20995,6.13435,Private room,50,12,0,,,2,0,0,
48977042,Centrally located studio in beautiful Geneva,25147911,Valerie,,Commune de Genève,46.19605,6.1565,Entire home/apt,90,1,4,2021-09-03,0.59,1,51,4,
48991798,Quiet & Central 2BR apartment in Chêne-Bougeries,3528377,Marc,,Chêne-Bougeries,46.19809,6.17713,Entire home/apt,133,7,12,2021-08-09,1.84,79,0,12,
49019972,"Quiet apartment near city center, airport & the UN",15089330,Rigas& Isaure,,Commune de Genève,46.20588,6.12555,Entire home/apt,91,4,14,2021-09-29,2.36,1,28,14,
49055393,A quiet apartment close to Geneva and the lake,395627380,Olli,,Corsier,46.26209,6.22364,Entire home/apt,80,5,1,2021-09-03,0.54,1,145,1,
49056671,"Joli app. 50m2 avec grandes terrasses, hypercentre",51726089,Pauline,,Commune de Genève,46.21164,6.14614,Entire home/apt,100,4,0,,,1,8,0,
49059657,2 chambres au cœur de Meinier,98787802,Heloise,,Meinier,46.24713,6.23659,Entire home/apt,100,3,1,2021-08-20,0.43,1,0,1,
49070783,Chambre dans magnifique appartement/Genève centre,370917838,Giacobino,,Commune de Genève,46.20681,6.12736,Private room,50,10,0,,,1,0,0,
49073504,Magnifique chambre spacieuse dans quartier calme,235002359,Deborah,,Vernier,46.20341,6.09868,Private room,35,7,0,,,2,314,0,
49075101,Maison à 5 min du centre de Genève.,12525353,Thierry,,Lancy,46.17445,6.13249,Private room,120,2,1,2021-05-07,0.17,2,177,1,
49083895,Top floor in modern house close to Geneva,13865409,Saskia,,Choulex,46.22467,6.224,Private room,48,29,0,,,1,120,0,
49106497,Corto Maltese Room,161822560,Genevieve,,Commune de Genève,46.21606,6.12556,Private room,55,5,2,2021-09-10,1.46,5,326,2,
49106525,The Violet Room,161822560,Genevieve,,Commune de Genève,46.21689,6.12809,Private room,42,6,6,2021-09-25,0.91,5,322,6,
49108649,3 pièces avec jardin dans une  villa  à Genève,396066226,Celedonia,,Pregny-Chambésy,46.2439,6.13812,Entire home/apt,80,30,0,,,1,347,0,
49195715,Appartement spacieux au centre ville Genève,17675448,Mady,,Commune de Genève,46.20384,6.16126,Entire home/apt,84,4,7,2021-07-30,1.52,9,125,7,
49241750,Your bright place with lac view in Eaux-Vives,118419555,Marco,,Commune de Genève,46.20625,6.16014,Entire home/apt,115,28,1,2021-05-29,0.20,2,151,1,
49244029,Grand appartement en plein centre de Genève,58747993,Kristel,,Commune de Genève,46.20157,6.1383,Entire home/apt,140,4,9,2021-10-18,2.06,1,2,9,
49252572,"Large, bright and spacious bedroom! Fully equipped",42301506,Leandro,,Commune de Genève,46.21225,6.12657,Private room,56,1,38,2021-07-24,5.97,1,0,38,
49265417,Cosy and bright appt,9535108,Oriana,,Meyrin,46.23142,6.06942,Entire home/apt,132,3,1,2021-08-31,0.51,1,151,1,
49283899,Charming 1 bedroom appartment in center of Geneva,41241265,Simone,,Commune de Genève,46.20373,6.15885,Entire home/apt,159,3,5,2021-10-08,0.91,1,30,5,
49363543,Suite parentale dans villa en campagne genevoise,44666245,Marie,,Collex-Bossy,46.27074,6.13026,Private room,63,3,0,,,15,360,0,
49385387,Logement indépendant dans villa aux Eaux-Vives,3737690,Philippe,,Commune de Genève,46.19747,6.16563,Entire home/apt,95,5,0,,,30,348,0,
49416547,(NEW) Cosy studio private parking near Geneva,1091734,Rim,,Thônex,46.18285,6.19381,Entire home/apt,48,5,3,2021-10-20,1.10,1,166,3,
49431767,Maison d’alma avec jardin et proche aéroport,13474931,Mathieu,,Pregny-Chambésy,46.2453,6.129136,Entire home/apt,90,1,0,,,1,26,0,
49456069,Superbe appartement proche du lac,398866909,Daniel,,Commune de Genève,46.21406,6.14784,Entire home/apt,240,4,10,2021-10-08,4.00,1,290,10,
49493079,Chambre  privée proche de la gare.,399171387,Patricia,,Commune de Genève,46.20902,6.13755,Private room,87,2,0,,,2,344,0,
49510292,Beautiful Modern Apartment Close to UN and airport,28505484,Nitin,,Vernier,46.21202,6.11372,Private room,1500,60,0,,,1,365,0,
49539549,Amazing Duplex Flat at the Heart of the Old Town,77870809,Gautier,,Commune de Genève,46.199673,6.149515,Entire home/apt,165,3,3,2021-10-04,3,1,13,3,
49544865,Functional in Champel,221816262,Ulisse,,Commune de Genève,46.20342,6.16131,Entire home/apt,106,7,0,,,6,58,0,
49547508,Lake Side of Geneva . All Furnished Super Apart...,48326296,Ahmer,,Commune de Genève,46.21033,6.14686,Entire home/apt,137,7,0,,,2,365,0,
49574486,Spacious place for 8 ppl at Lac Léman,207112350,Airhosted,,Commune de Genève,46.21252,6.15092,Entire home/apt,166,4,15,2021-08-05,2.71,4,18,15,
49627301,Luxurious 2BR Family Apartment - Champel,3528377,Marc,,Commune de Genève,46.18566,6.15593,Entire home/apt,289,2,5,2021-10-02,1.38,79,336,5,
